"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2021","390.09","304.81","432.58","291.72","35.85M","28.00%"
"06/06/2021","343.23","390.09","406.99","320.39","24.48M","-12.01%"
"06/13/2021","334.19","343.26","379.49","327.39","14.04M","-2.63%"
"06/20/2021","279.45","334.15","341.52","225.93","26.97M","-16.38%"
"06/27/2021","299.25","279.45","315.04","270.00","12.67M","7.08%"
"07/04/2021","316.07","299.25","339.36","292.40","11.87M","5.62%"
"07/11/2021","300.31","316.07","334.34","290.93","11.28M","-4.99%"
"07/18/2021","303.15","300.34","309.00","255.79","12.54M","0.94%"
"07/25/2021","332.41","302.55","337.95","292.85","11.50M","9.65%"
"08/01/2021","356.28","332.32","359.58","317.70","8.97M","7.18%"
"08/08/2021","408.91","356.18","418.76","333.53","10.78M","14.77%"
"08/15/2021","448.64","408.91","459.99","386.69","12.35M","9.72%"
"08/22/2021","486.01","448.64","518.58","438.03","13.62M","8.33%"
"08/29/2021","497.40","486.00","509.75","452.50","8.55M","2.34%"
"09/05/2021","405.10","497.40","508.86","373.12","12.51M","-18.56%"
"09/12/2021","410.70","405.10","436.39","385.32","7.88M","1.38%"
"09/19/2021","349.51","410.70","418.95","334.67","10.34M","-14.90%"
"09/26/2021","427.22","349.51","438.00","320.10","10.03M","22.23%"
"10/03/2021","421.69","427.18","449.89","411.61","8.93M","-1.29%"
"10/10/2021","465.12","421.72","484.40","392.49","12.15M","10.30%"
"10/17/2021","485.40","465.12","505.62","455.77","8.70M","4.36%"
"10/24/2021","528.20","485.41","540.31","438.55","8.56M","8.82%"
"10/31/2021","636.30","528.20","636.30","509.32","10.68M","20.47%"
"11/07/2021","649.50","636.30","668.80","575.72","8.89M","2.08%"
"11/14/2021","604.28","649.50","660.20","517.13","10.38M","-6.96%"
"11/21/2021","600.30","604.28","657.70","554.30","11.27M","-0.66%"
"11/28/2021","568.62","600.30","649.59","495.12","9.36M","-5.28%"
"12/05/2021","563.24","568.60","616.24","533.30","9.43M","-0.95%"
"12/12/2021","534.20","563.24","574.01","502.09","7.05M","-5.16%"
"12/19/2021","547.33","534.19","554.12","506.31","5.16M","2.46%"
"12/26/2021","527.40","547.33","571.60","507.11","5.34M","-3.64%"
"01/02/2022","429.32","527.41","533.59","417.13","6.68M","-18.60%"
"01/09/2022","494.67","429.32","500.80","407.67","7.02M","15.22%"
"01/16/2022","358.50","494.49","505.59","337.57","7.90M","-27.53%"
"01/23/2022","389.29","358.30","401.34","336.82","8.30M","8.59%"
"01/30/2022","413.99","389.29","430.88","359.82","4.88M","6.35%"
"02/06/2022","403.20","413.99","444.86","392.90","5.80M","-2.61%"
"02/13/2022","399.70","403.22","441.20","390.61","4.82M","-0.87%"
"02/20/2022","373.31","399.70","399.99","323.89","7.41M","-6.60%"
"02/27/2022","384.70","373.60","420.35","356.00","580.88M","3.05%"
"03/06/2022","372.40","384.70","402.30","363.20","1.86B","-3.20%"
"03/13/2022","400.00","372.40","406.10","359.80","1.40B","7.41%"
"03/20/2022","416.08","399.91","421.49","385.59","4.26M","4.02%"
"03/27/2022","436.82","415.82","453.96","411.81","6.21M","4.98%"
"04/03/2022","426.83","436.85","459.98","416.88","5.81M","-2.29%"
"04/10/2022","417.10","426.83","429.41","391.87","4.23M","-2.28%"
"04/17/2022","401.10","417.10","431.12","396.41","4.48M","-3.84%"
"04/24/2022","377.01","401.12","410.59","376.69","5.19M","-6.01%"
"05/01/2022","365.48","376.99","412.81","360.62","5.15M","-3.06%"
"05/08/2022","296.90","365.48","366.90","219.98","17.44M","-18.76%"
"05/15/2022","312.40","296.90","315.86","285.90","5.95M","5.22%"
"05/22/2022","307.59","312.40","337.39","291.40","8.74M","-1.54%"
"05/29/2022","301.40","307.59","324.60","293.49","4.31M","-2.01%"
"06/05/2022","269.71","301.40","312.11","265.58","4.89M","-10.51%"
"06/12/2022","197.09","269.71","271.80","184.06","10.37M","-26.92%"
"06/19/2022","239.69","197.09","243.09","189.80","6.04M","21.62%"
"06/26/2022","218.20","239.69","244.99","205.90","4.86M","-8.97%"
"07/03/2022","243.39","218.20","247.00","214.22","4.14M","11.54%"
"07/10/2022","249.79","243.39","251.00","216.70","3.58M","2.63%"
"07/17/2022","259.20","249.80","274.50","246.60","4.64M","3.77%"
"07/24/2022","287.70","259.20","301.51","239.70","4.89M","10.99%"
"07/31/2022","315.01","287.80","322.61","274.69","4.70M","9.49%"
"08/07/2022","324.10","315.20","336.60","308.67","3.85M","2.88%"
"08/14/2022","283.80","324.11","330.99","277.23","4.03M","-12.43%"
"08/21/2022","277.80","283.80","306.70","274.30","3.65M","-2.11%"
"08/28/2022","277.80","277.90","292.00","270.82","2.80M","0.00%"
"09/04/2022","296.61","277.80","298.60","258.72","3.14M","6.77%"
"09/11/2022","279.09","296.60","299.80","267.19","2.92M","-5.90%"
"09/18/2022","274.60","279.09","284.90","256.71","2.89M","-1.61%"
"09/25/2022","282.91","274.59","289.80","266.50","2.45M","3.03%"
"10/02/2022","276.30","282.91","298.19","275.60","2.26M","-2.34%"
"10/09/2022","268.20","276.40","279.40","257.05","2.00M","-2.93%"
"10/16/2022","270.49","268.20","276.00","263.90","1.34M","0.86%"
"10/23/2022","304.40","270.49","308.20","268.89","2.25M","12.53%"
"10/30/2022","349.40","304.40","360.72","302.40","5.02M","14.78%"
"11/06/2022","282.69","349.11","393.42","260.52","9.29M","-19.09%"
"11/13/2022","272.61","282.69","291.79","263.61","2.62M","-3.57%"
"11/20/2022","311.20","272.61","317.59","250.60","4.10M","14.16%"
"11/27/2022","290.40","311.20","316.59","285.70","3.42M","-6.69%"
"12/04/2022","288.10","290.40","297.09","281.60","2.11M","-0.79%"
"12/11/2022","242.00","288.20","291.19","220.50","4.82M","-16.00%"
"12/18/2022","244.50","242.00","253.50","237.69","2.07M","1.03%"
"12/25/2022","246.10","244.50","248.10","241.50","1.08M","0.65%"
"01/01/2023","261.30","246.10","263.59","241.20","1.35M","6.18%"
"01/08/2023","305.20","261.30","314.30","260.30","2.44M","16.80%"
"01/15/2023","299.00","305.20","309.80","281.72","2.75M","-2.03%"
"01/22/2023","306.30","299.10","323.00","293.81","2.70M","2.44%"
"01/29/2023","330.40","306.10","335.00","302.71","3.30M","7.87%"
"02/05/2023","310.31","330.40","337.59","302.80","2.46M","-6.08%"
"02/12/2023","316.50","310.50","327.09","283.00","4.31M","2.00%"
"02/19/2023","302.40","316.50","319.60","296.39","2.65M","-4.45%"
"02/26/2023","289.49","302.40","309.60","286.01","1.51M","-4.27%"
"03/05/2023","275.90","289.49","293.89","265.31","2.04M","-4.70%"
"03/12/2023","331.01","275.99","345.99","273.41","5.35M","19.97%"
"03/19/2023","322.50","331.01","341.20","316.51","3.83M","-2.57%"
"03/26/2023","314.90","322.50","329.60","306.10","2.58M","-2.36%"
"04/02/2023","310.50","314.90","316.69","299.91","1.90M","-1.40%"
"04/09/2023","333.00","310.50","335.90","309.70","3.22M","7.25%"
"04/16/2023","332.08","333.00","350.00","315.50","4.49M","-0.28%"
"04/23/2023","321.90","332.08","344.90","319.00","4.50M","-3.06%"
"04/30/2023","321.90","321.90","339.49","319.59","3.38M","0.00%"
"05/07/2023","310.71","321.90","325.39","301.30","2.24M","-3.48%"
"05/14/2023","310.70","310.71","316.20","306.21","1.46M","0.00%"
"05/21/2023","307.40","310.70","315.30","301.71","2.01M","-1.06%"
"05/28/2023","306.60","307.40","316.90","303.30","2.35M","-0.26%"
"06/04/2023","238.70","306.60","307.60","230.76","5.03M","-22.15%"
"06/11/2023","244.60","238.70","252.10","221.40","6.25M","2.47%"
"06/18/2023","236.49","244.60","256.79","231.10","4.96M","-3.31%"
"06/25/2023","247.80","236.39","248.80","225.90","4.35M","4.78%"
"07/02/2023","236.30","247.80","253.67","231.49","4.12M","-4.64%"
"07/09/2023","250.90","236.30","261.60","231.61","5.96M","6.18%"
"07/16/2023","240.90","250.90","252.00","238.11","3.74M","-3.98%"
"07/23/2023","242.50","240.90","243.90","235.51","2.09M","0.66%"
"07/30/2023","243.30","242.50","248.79","235.90","2.96M","0.33%"
"08/06/2023","240.20","243.30","247.87","238.30","2.13M","-1.27%"
